N,X,Y
300293,1876711.688458057,706364.8265973093
300294,1804340.044282999,752869.798399588
300295,1804866.529220202,752515.64688867
300296,1876392.6075063946,706185.3398247517
300297,1802484.3810748442,752893.583032746
300298,1802800.1394296011,753750.7841929767
300299,1890268.5635543833,712633.5192204264
300300,1890223.7280941196,712911.6807026782
300301,1889505.502873029,713232.6242718446
300302,1888884.364046834,712717.2277270486
300303,1811382.275620201,736654.4024114691
300304,1820287.3358747696,722024.1235610384
300305,1820651.268822452,719930.4784062312
300306,1820918.1496566276,719512.7348954913
300307,1805907.649519235,690788.6674450401
300308,1805715.507358382,689966.453040283
300309,1805622.122661516,689428.7992983643
300310,1804870.3361120713,689121.3757838499
300311,1815416.1071513917,684441.9065866815
300312,1812424.1736702113,736519.6809193776
300313,1820632.601394072,720303.7408261781
300314,1811222.8381752756,736420.9073848551
300315,1841539.3609633828,693372.1151463512
300316,1841539.5050461076,692598.4618501271
300317,1841408.7178154832,691673.3132247188
300318,1840233.5289078697,691878.6270317164
300319,1840078.257173863,692674.8080907281
300320,1839522.2117512724,696853.2827025086
300321,1848061.146160156,688222.8518903792
300322,1848515.9674135246,688371.590230691
300323,1848598.048556668,687742.4764257582
300324,1848498.0361525558,687243.8162454484
300325,1847924.737348227,687155.230125688
300326,1877801.797167825,694423.2864128496
300327,1798217.8940297368,711379.7997910767
300328,1798122.8865425352,711119.675481968
300329,1810661.9884769197,725149.4229034012
300330,1809941.574964166,725697.6492356476
300331,1785210.2095206813,722645.8229048124
300332,1851598.9459986326,720643.6763936253
300333,1850940.6759307869,720691.3634149897
300334,1850252.502795317,720741.532955079
300335,1850105.0114147116,721542.1739192122
300336,1850747.1514546042,721708.4871146787
300337,1851345.6112403716,721665.5239153223
300338,1853375.600911196,721375.9677236667
300339,1860592.9027469347,728033.6203342585
300340,1835120.0427900713,752569.4960145623
300341,1835954.0621970454,752513.3908596053
300342,1836702.1950288212,752461.0747570381
300343,1836698.8100762924,751632.6798495993
300344,1826274.9519518234,727704.5774019951
300345,1824789.8280019022,727712.2955497942
300346,1829394.709394474,705419.1536034863
300347,1829416.9525777102,704729.5132000953
300348,1830174.4166421301,704565.8503478701
300349,1830280.431290959,703894.4493074559
300350,1830198.8231076759,702637.1144655684
300351,1830132.2100148776,701649.3703478047
300352,1828882.4483113803,688625.0007869615
300353,1828041.9055023761,688584.4003274016
300354,1827864.1009538937,688074.5125529463
300355,1827597.3941311701,687309.6808912634
300356,1827809.153595846,687037.3202383678
300357,1827921.9323253212,686825.38412796
300358,1830241.615337996,703285.3330474396
300359,1825071.5988914494,727669.9145206154
300360,1795046.6746070944,702907.5000573768
300361,1842970.760236709,733966.7714694033
300362,1843064.9572097939,734616.5511632059
300363,1842452.2444366354,734755.4940181324
300364,1841956.5644116418,735057.3111554848
300365,1841811.2500240623,735991.7745967316
300366,1841848.212149897,736590.6156397677
300367,1841899.7651863147,737459.0868062107
300368,1841947.21723342,738267.6924522741
300369,1842292.529604718,738585.834721222
300370,1891126.0713626472,723812.0351949491
300371,1892285.5037315383,722993.3759200744
300372,1892376.2383143893,723258.4573323879
300373,1844893.8360930039,703668.1514653227
300374,1844194.2381081602,703477.4772771561
300375,1844117.248663345,703773.2887166996
300376,1830685.309094271,725230.0756523613
300377,1830687.91229949,724777.4320929025
300378,1816918.1985735327,715711.4747276251
300379,1816734.5635699297,715890.2916009229
300380,1811611.3783600382,723893.2607570607
300381,1810851.1755131935,737193.407341466
300382,1809983.3794736194,737255.2320507704
300383,1808995.5693301845,737321.0033601678
300384,1808337.0772340635,737365.5697984855
300385,1808161.6960783177,738086.1275624632
300386,1807168.1704887997,738201.0334681612
300387,1806150.185202973,738265.1048805295
300388,1805102.172668744,738329.6456244944
300389,1803305.9611367972,738445.9193406579
300390,1787143.698684284,709614.9842897893
300391,1787123.5704084684,710220.2126109516
300392,1787110.7815485855,710882.8231431885
300393,1791275.285608109,755859.3948324954
300394,1804354.0263095102,753152.2726428309
300395,1804340.044282999,752869.798399588
300396,1803416.6618782044,752625.7308215457
300397,1820219.7494008353,719573.2540605812
300398,1820217.361891572,720142.0174732929
300399,1820135.3056777795,723114.7167124288
300400,1848366.386690618,673679.0214130298
300401,1848157.7201425438,672832.3752375565
300402,1849323.9706975853,671235.2374762369
300403,1849247.9845234994,669350.6412391051
300404,1857172.4502776037,700091.3126621639
300405,1858046.0139848045,700565.3034112174
300406,1858982.4175131624,701161.207844838
300407,1859979.4537174716,701765.2788283045
300408,1860754.522433615,701767.7878124897
300409,1860871.6734359458,700981.1648006918
300410,1861809.3125909509,700844.9512828084
300411,1853661.809090293,750277.052807563
300412,1853830.5977186041,750908.7657914789
300413,1855497.625331119,676271.0223884336
300414,1854794.5124312583,673197.0871127403
300415,1854260.6092571607,672870.5667500988
300416,1853013.3563788668,672820.6868655804
300417,1871838.5728023741,701859.5437120425
300418,1872413.0201516626,702809.3355341271
300419,1873374.0925784083,702863.222304149
300420,1872293.0877446546,727197.806166607
300421,1872329.9656708431,728244.6126224303
300422,1869816.0699290566,728541.3229697773
300423,1783539.3449272236,737245.3057100029
300424,1783569.168886413,737248.5509308374
300425,1830292.9172719177,740581.0362022711
300426,1783383.54109675,739360.5661618911
300427,1783065.9543987508,738271.5370902203
300428,1792745.0181641178,763994.2883143801
300429,1791800.5096562824,764125.3877150642
300430,1791423.7016759522,763848.9655160665
300431,1805528.9330037497,773110.5423072071
300432,1804898.8919888,772991.1820613618
300433,1804080.337472192,773142.0356099698
300434,1791363.7788943013,763561.4590955365
300435,1791539.7782361244,763258.5619833511
300436,1792470.154526617,763106.4526039856
300437,1822981.0477043146,755452.7148957911
300438,1821900.4140633882,755870.0559345972
300439,1820804.8613357968,755884.9152513051
300440,1821399.722096443,755541.0049318913
300441,1803838.8131475002,773358.5879576592
300442,1842878.8656081543,759128.2455696035
300443,1825153.3842766793,771345.0481635248
300444,1826802.8104745648,770419.6119272853
300445,1826977.1868513129,771300.0600847901
300446,1824620.4587614213,771369.4440663577
300447,1825309.4636842143,770344.0425337303
300448,1826820.045768694,771553.8283854811
300449,1826820.045768694,771553.8283854811
300450,1839054.647823987,765858.1965076335
300451,1839079.2863026187,764549.604626056
300452,1838439.3075804291,763585.378849551
300453,1838875.4031610566,764106.7753751487
300454,1839199.741906748,765095.2391778695
300455,1838923.5396084695,766433.5947299383
300456,1839010.2408247138,767237.4213271119
300457,1887683.2817030274,761550.5107515159
300458,1854098.862514998,750914.5038732004
300459,1887954.9643907936,761701.7211514381
300460,1853885.2766231855,750971.9408305482
300461,1876913.720173907,681998.7763690342
300462,1812493.772431775,685447.5995671729
300463,1812359.2398589987,687327.7416737815
300464,1812394.401173722,689175.4336146106
300465,1813765.404103184,689565.0902613053
300466,1813919.8021199203,690170.1174312972
