service_id,date,exception_type
3,20180903,1
1,20180903,2
9101,20180904,1
9101,20180905,1
9101,20180906,1
11801,20180906,1
9201,20180907,1
11801,20180907,1
9101,20180910,1
9101,20180911,1
9101,20180912,1
9101,20180913,1
11801,20180913,1
9201,20180914,1
11801,20180914,1
9101,20180917,1
9101,20180918,1
9101,20180919,1
9101,20180920,1
11801,20180920,1
9201,20180921,1
11801,20180921,1
9101,20180924,1
9101,20180925,1
9101,20180926,1
9101,20180927,1
11801,20180927,1
9201,20180928,1
11801,20180928,1
9101,20181001,1
9101,20181002,1
9101,20181003,1
9101,20181004,1
11801,20181004,1
9201,20181005,1
11801,20181005,1
9101,20181008,1
9101,20181009,1
9101,20181010,1
9101,20181011,1
11801,20181011,1
12101,20181011,1
9201,20181012,1
11801,20181012,1
12101,20181012,1
12102,20181013,1
12103,20181014,1
9101,20181015,1
12101,20181015,1
9101,20181016,1
9101,20181017,1
9101,20181018,1
11801,20181018,1
9201,20181019,1
11801,20181019,1
9101,20181022,1
9101,20181023,1
9101,20181024,1
9101,20181025,1
11801,20181025,1
9201,20181026,1
11801,20181026,1
9101,20181029,1
9101,20181030,1
9101,20181031,1
9101,20181101,1
11801,20181101,1
9201,20181102,1
11801,20181102,1
9101,20181105,1
9101,20181106,1
9101,20181107,1
9101,20181108,1
11801,20181108,1
9201,20181109,1
11801,20181109,1
9101,20181112,1
9101,20181113,1
9101,20181114,1
9101,20181115,1
11801,20181115,1
9201,20181116,1
11801,20181116,1
9101,20181119,1
12101,20181119,1
9101,20181120,1
12101,20181120,1
9101,20181121,1
12101,20181121,1
12103,20181122,1
3,20181122,1
1,20181122,2
9201,20181123,1
11801,20181123,1
12101,20181123,1
12102,20181124,1
12103,20181125,1
9101,20181126,1
12101,20181126,1
9101,20181127,1
9101,20181128,1
9101,20181129,1
11801,20181129,1
9201,20181130,1
11801,20181130,1
9101,20181203,1
9101,20181204,1
9101,20181205,1
9101,20181206,1
11801,20181206,1
12101,20181206,1
9201,20181207,1
11801,20181207,1
12101,20181207,1
12102,20181208,1
12103,20181209,1
9101,20181210,1
12101,20181210,1
9101,20181211,1
12101,20181211,1
9101,20181212,1
12101,20181212,1
9101,20181213,1
11801,20181213,1
12101,20181213,1
9201,20181214,1
11801,20181214,1
12101,20181214,1
9101,20181217,1
9101,20181218,1
9101,20181219,1
9101,20181220,1
11801,20181220,1
9201,20181221,1
11801,20181221,1
9101,20181224,1
3,20181225,1
1,20181225,2
9101,20181226,1
9101,20181227,1
11801,20181227,1
9201,20181228,1
11801,20181228,1
9101,20181231,1
3,20190101,1
1,20190101,2
9101,20190102,1
9101,20190103,1
11801,20190103,1
9201,20190104,1
11801,20190104,1
