ROUTE_ID,ROUTE_NO,LONG_NAME,MODE
1,1,KENNY/LIVINGSTON,11
2,2,E MAIN/N HIGH,11
3,3,NORTHWEST/HARRISBURG,11
4,4,INDIANOLA/LOCKBOURNE,11
5,5,W 5TH AVE/REFUGEE,11
6,6,CLEVELAND/SULLIVANT,11
7,7,MT VERNON,11
8,8,KARL/S HIGH/PARSONS,11
9,9,W MOUND/BRENTNELL,11
10,10,E BROAD/W BROAD,11
11,11,BRYDEN/MAIZE,11
12,12,MCKINLEY/FIELDS,11
13,13,ARLINGTON/1ST AVE,11
21,21,HILLIARD ROME,11
22,22,OSU-RICKENBACKER,11
23,23,JAMES-STELZER,11
24,24,HAMILTON RD,11
25,25,BRICE,11
31,31,HUDSON,11
32,32,N BROADWAY,11
33,33,HENDERSON,11
34,34,MORSE,11
35,35,DUBLIN-GRANVILLE,11
41,41,CROSSWOODS-POLARIS,26
42,42,SHARON WOODS,26
43,43,WESTERVILLE,26
44,44,EASTON,26
45,45,NEW ALBANY,26
46,46,GAHANNA,26
51,51,REYNOLDSBURG,26
52,52,CANAL WINCHESTER,26
61,61,GROVE CITY,26
71,71,HILLIARD,26
72,72,TUTTLE,26
73,73,DUBLIN,26
74,74,SMOKY ROW,26
101,CMAX,CMAX,32
102,2L,N HIGH/POLARIS PKWY,11
121,CBUS,CBUS,20
131,NIGHT OWL,NIGHT OWL,20
151,151,OSU/AIRPORT,20
152,AirConnect,COTA AirConnect,20
201,SMART RED,SMARTRIDE NEW ALBANY - RED,20
202,SMART BLUE,SMARTRIDE NEW ALBANY - BLUE,20
203,SMART GREEN,SMARTRIDE NEW ALBANY - GREEN,20
211,GREAT BLUE,GREAT - BLUE LINE,20
212,GREAT GREEN,GREAT - GREEN LINE,20
213,GREAT RED,GREAT - RED LINE,20
